ID_MASSA;NOME_COMPLETO;NOME_USUARIO;EMAIL;SENHA;CPF;TELEFONE;CEP;RUA;NUMERO;BAIRRO;CIDADE;ESTADO;PAIS;DATA_NASCIMENTO;BANDEIRA_CARTAO;TIER_CARTAO;DIA_VENCIMENTO;NOME_IMPRESSO;PLANO_CONTA;CHAVE_PIX;NOME_TUTOR;CPF_TUTOR
="C_0011";="Marcelo Pereira";="marcelo.pereira";="pereira.marcelo@protonmail.com";="admin999";="52337380742";="3914372642";="62858541";="Marginal Oliveira";="17383";="Powys";="Braga de Nossa Senhora";="GO";="Brasil";="2001-02-26";="VISA";="GOLD";="15";="MARCELO PEREIRA";="FREE";="52337380742";="";=""
="C_0012";="Salvador Batista";="salvador.batista";="batista.salvador@me.com";="admin999";="88816631805";="9870437726";="82292891";="Rua Reis";="31995";="Johnson County";="Noah do Descoberto";="RJ";="Brasil";="2008-08-10";="VISA";="BLACK";="20";="SALVADOR BATISTA";="PRO";="88816631805";="";=""
="C_0013";="Nubia Santos";="nubia.santos";="santos.nubia@ig.com.br";="admin999";="04828847626";="6642266225";="66885427";="Alameda Pereira";="23960";="Calhoun County";="Salvador do Descoberto";="MA";="Brasil";="1996-06-02";="AMEX";="BLACK";="25";="NUBIA SANTOS";="FREE";="04828847626";="";=""
="C_0014";="Alicia Batista";="alicia.batista";="batista.alicia@yandex.com";="admin999";="41998978958";="4064237944";="25434957";="Rua Franco";="3572";="West Yorkshire";="Costa do Norte";="MG";="Brasil";="2008-03-15";="HIPERCARD";="BRONZE";="20";="ALICIA BATISTA";="FREE";="41998978958";="";=""
="C_0015";="Isadora Moraes";="isadora.moraes";="moraes.isadora@outlook.com";="admin999";="74459209438";="55576172424";="45740060";="Travessa Paula";="1997";="Wiltshire";="Nataniel de Nossa Senhora";="PR";="Brasil";="1989-08-01";="HIPERCARD";="PLATINUM";="10";="ISADORA MORAES";="FREE";="74459209438";="";=""
="C_0016";="Marcela Franco";="marcela.franco";="franco.marcela@hotmail.com";="admin999";="84291097735";="29204414704";="35228666";="Alameda Batista";="14798";="Grampian";="Batista de Nossa Senhora";="SE";="Brasil";="1989-01-31";="AMEX";="PLATINUM";="20";="MARCELA FRANCO";="PRO";="84291097735";="";=""
="C_0017";="Elisa Silva";="elisa.silva";="silva.elisa@me.com";="admin999";="08774055496";="553491982350";="52132899";="Rodovia Tertuliano";="70093";="Carroll County";="Maria Alice do Sul";="PI";="Brasil";="1975-10-08";="MASTERCARD";="PLATINUM";="10";="ELISA SILVA";="FREE";="08774055496";="";=""
="C_0018";="Maite Melo";="maite.melo";="melo.maite@protonmail.com";="admin999";="87753560905";="557175134774";="71448119";="Alameda Moreira";="66534";="Suffolk";="Moraes do Norte";="RO";="Brasil";="1967-06-26";="MASTERCARD";="BRONZE";="25";="MAITE MELO";="VIP_BLACK";="87753560905";="";=""
="C_0019";="Marcos Xavier";="marcos.xavier";="xavier.marcos@uol.com.br";="admin999";="66728984097";="550192509755";="03056180";="Marginal Carla";="84443";="Surrey";="Ana Clara de Nossa Senhora";="DF";="Brasil";="1971-08-01";="MASTERCARD";="GOLD";="15";="MARCOS XAVIER";="VIP_BLACK";="66728984097";="";=""
="C_0020";="Livia Reis";="livia.reis";="reis.livia@mail.com";="admin999";="77962452706";="28151439687";="21793768";="Rua Souza";="69843";="North Yorkshire";="Batista do Descoberto";="PR";="Brasil";="1985-04-16";="ELO";="GOLD";="20";="LIVIA REIS";="FREE";="77962452706";="";=""
="C_0021";="Natalia Batista";="natalia.batista";="batista.natalia@inbox.com";="admin999";="22292775450";="7898701076";="68679493";="Marginal Moreira";="7370";="Cornwall";="Murilo de Nossa Senhora";="BA";="Brasil";="1976-12-23";="AMEX";="BLACK";="20";="NATALIA BATISTA";="PRO";="22292775450";="";=""
="C_0022";="Vitoria Souza";="vitoria.souza";="souza.vitoria@bol.com.br";="admin999";="91516343689";="21662579695";="55410691";="Rodovia Bruna";="784";="West Glamorgan";="Pereira do Descoberto";="PE";="Brasil";="1980-05-18";="VISA";="PLATINUM";="20";="VITORIA SOUZA";="VIP_BLACK";="91516343689";="";=""
="C_0023";="Daniel Moraes";="daniel.moraes";="moraes.daniel@yahoo.com";="admin999";="19423379818";="50354282331";="79383469";="Travessa Emanuelly";="42604";="County Londonderry";="Davi de Nossa Senhora";="PR";="Brasil";="2005-11-21";="ELO";="BRONZE";="25";="DANIEL MORAES";="FREE";="19423379818";="";=""
="C_0024";="Lorenzo Nogueira";="lorenzo.nogueira";="nogueira.lorenzo@protonmail.com";="admin999";="16174948285";="557960386071";="38288825";="Rua Julio Cesar";="618";="Jackson County";="Oliveira de Nossa Senhora";="PB";="Brasil";="1997-03-11";="MASTERCARD";="BRONZE";="25";="LORENZO NOGUEIRA";="FREE";="16174948285";="";=""
="C_0025";="Rafael Saraiva";="rafael.saraiva";="saraiva.rafael@live.com";="admin999";="26231878783";="54434742802";="96746965";="Alameda Ofelia";="1825";="Somerset";="Santos do Norte";="MA";="Brasil";="1973-02-21";="ELO";="BLACK";="15";="RAFAEL SARAIVA";="FREE";="26231878783";="";=""
="C_0026";="Elisa Silva";="elisa.silva";="silva.elisa@inbox.com";="admin999";="24048030850";="556973867510";="38869922";="Avenida Costa";="572";="County Londonderry";="Rebeca do Norte";="AC";="Brasil";="1974-05-19";="MASTERCARD";="BLACK";="15";="ELISA SILVA";="PRO";="24048030850";="";=""
="C_0027";="Giovanna Moraes";="giovanna.moraes";="moraes.giovanna@gmail.com";="admin999";="45877859897";="4361296646";="27929047";="Avenida Batista";="2267";="Worcestershire";="Xavier de Nossa Senhora";="BA";="Brasil";="1981-07-27";="VISA";="BLACK";="15";="GIOVANNA MORAES";="PRO";="45877859897";="";=""
="C_0028";="Vitor Braga";="vitor.braga";="braga.vitor@live.com";="admin999";="32436631727";="559288131582";="20084266";="Avenida Maite";="81322";="Surrey";="Albuquerque do Sul";="SP";="Brasil";="1998-10-11";="AMEX";="GOLD";="15";="VITOR BRAGA";="FREE";="32436631727";="";=""
="C_0029";="Frederico Braga";="frederico.braga";="braga.frederico@aol.com";="admin999";="42660591083";="88033536400";="11001069";="Avenida Manuela";="3915";="Dorset";="Miguel do Sul";="MS";="Brasil";="1986-10-24";="ELO";="BLACK";="15";="FREDERICO BRAGA";="VIP_BLACK";="42660591083";="";=""
="C_0030";="Maria Clara Santos";="mariaclara.santos";="santos.mariaclara@icloud.com";="admin999";="06183794953";="556028931494";="66464892";="Alameda Moraes";="366";="Borders";="Heloisa do Norte";="BA";="Brasil";="1989-01-17";="ELO";="GOLD";="25";="MARIA CLARA SANTOS";="FREE";="06183794953";="";=""
="C_0031";="Maria Cecilia Pereira";="mariacecilia.pereira";="pereira.mariacecilia@outlook.com";="admin999";="59411860109";="2084655440";="63062536";="Rodovia Eduardo";="460";="Franklin County";="Macedo do Sul";="RO";="Brasil";="1968-11-27";="AMEX";="GOLD";="25";="MARIA CECILIA PEREIRA";="FREE";="59411860109";="";=""
="C_0032";="Beatriz Carvalho";="beatriz.carvalho";="carvalho.beatriz@yandex.com";="admin999";="57582679709";="0155978166";="01902451";="Rua Saraiva";="884";="Suffolk";="Moreira do Descoberto";="MS";="Brasil";="1999-06-09";="MASTERCARD";="BLACK";="10";="BEATRIZ CARVALHO";="FREE";="57582679709";="";=""
="C_0033";="Maria Luiza Melo";="marialuiza.melo";="melo.marialuiza@bol.com.br";="admin999";="29382616403";="31369454536";="43355604";="Marginal Lorraine";="5171";="Tayside";="Fabricio do Descoberto";="PR";="Brasil";="1976-04-04";="HIPERCARD";="BRONZE";="10";="MARIA LUIZA MELO";="VIP_BLACK";="29382616403";="";=""
="C_0034";="Gustavo Barros";="gustavo.barros";="barros.gustavo@terra.com.br";="admin999";="00724924906";="555858456862";="13642506";="Rodovia Antonio";="59339";="Cumbria";="Eloa do Norte";="RN";="Brasil";="1986-04-27";="MASTERCARD";="GOLD";="15";="GUSTAVO BARROS";="FREE";="00724924906";="";=""
="C_0035";="Maria Julia Barros";="mariajulia.barros";="barros.mariajulia@yandex.com";="admin999";="57284832320";="9586061097";="52840179";="Marginal Moreira";="393";="Nottinghamshire";="Morgana do Descoberto";="PI";="Brasil";="1981-01-12";="HIPERCARD";="PLATINUM";="25";="MARIA JULIA BARROS";="VIP_BLACK";="57284832320";="";=""
="C_0036";="Davi Lucca Franco";="davilucca.franco";="franco.davilucca@gmx.com";="admin999";="51560770309";="551844217899";="78530521";="Alameda Albuquerque";="34472";="Hamilton County";="Martins do Sul";="AP";="Brasil";="1993-05-05";="AMEX";="BLACK";="25";="DAVI LUCCA FRANCO";="PRO";="51560770309";="";=""
="C_0037";="Felicia Albuquerque";="felicia.albuquerque";="albuquerque.felicia@gmx.com";="admin999";="00837240441";="559311408151";="54364944";="Rodovia Emanuel";="370";="Highlands and Islands";="Davi Lucca de Nossa Senhora";="RS";="Brasil";="2007-04-23";="VISA";="GOLD";="10";="FELICIA ALBUQUERQUE";="PRO";="00837240441";="";=""
="C_0038";="Maria Barros";="maria.barros";="barros.maria@protonmail.com";="admin999";="72983191672";="0594264271";="63368992";="Avenida Caua";="6080";="Worcestershire";="Nubia do Sul";="PB";="Brasil";="1991-02-16";="VISA";="GOLD";="25";="MARIA BARROS";="FREE";="72983191672";="";=""
="C_0039";="Alice Braga";="alice.braga";="braga.alice@gmx.com";="admin999";="64448809633";="557394088134";="05779618";="Avenida Pereira";="99402";="Lancashire";="Souza do Sul";="RR";="Brasil";="1999-07-12";="VISA";="GOLD";="15";="ALICE BRAGA";="VIP_BLACK";="64448809633";="";=""
="C_0040";="Ladislau Albuquerque";="ladislau.albuquerque";="albuquerque.ladislau@bol.com.br";="admin999";="04908739870";="69620076494";="35738936";="Avenida Lorraine";="839";="Gwynedd County";="Julia do Norte";="PE";="Brasil";="1982-01-21";="VISA";="BLACK";="20";="LADISLAU ALBUQUERQUE";="PRO";="04908739870";="";=""
="C_0041";="Alicia Oliveira";="alicia.oliveira";="oliveira.alicia@hotmail.com";="admin999";="94441788975";="0508316343";="78183199";="Marginal Carvalho";="1856";="Central";="Pereira do Norte";="BA";="Brasil";="1991-02-25";="MASTERCARD";="PLATINUM";="10";="ALICIA OLIVEIRA";="VIP_BLACK";="94441788975";="";=""
="C_0042";="Matheus Batista";="matheus.batista";="batista.matheus@gmail.com";="admin999";="14257085100";="62144365513";="54761461";="Avenida Celia";="81611";="Surrey";="Moraes de Nossa Senhora";="GO";="Brasil";="1967-09-28";="MASTERCARD";="BLACK";="10";="MATHEUS BATISTA";="VIP_BLACK";="14257085100";="";=""
="C_0043";="Gubio Carvalho";="gubio.carvalho";="carvalho.gubio@protonmail.com";="admin999";="92427439410";="5953840309";="76063443";="Avenida Ana Luiza";="28544";="South Glamorgan";="Antonio de Nossa Senhora";="RR";="Brasil";="1977-11-23";="ELO";="PLATINUM";="25";="GUBIO CARVALHO";="FREE";="92427439410";="";=""
="C_0044";="Enzo Xavier";="enzo.xavier";="xavier.enzo@protonmail.com";="admin999";="79420820165";="99661364361";="33661834";="Avenida Reis";="49283";="Montgomery County";="Batista do Norte";="AL";="Brasil";="1977-09-19";="ELO";="BLACK";="10";="ENZO XAVIER";="FREE";="79420820165";="";=""
="C_0045";="Gabriel Martins";="gabriel.martins";="martins.gabriel@inbox.com";="admin999";="77046684804";="559040951629";="60126007";="Avenida Laura";="498";="Tayside";="Costa de Nossa Senhora";="GO";="Brasil";="1983-02-09";="VISA";="BRONZE";="10";="GABRIEL MARTINS";="VIP_BLACK";="77046684804";="";=""
="C_0046";="Maria Eduarda Costa";="mariaeduarda.costa";="costa.mariaeduarda@gmail.com";="admin999";="39251184119";="552982950231";="85859411";="Avenida Reis";="11865";="Madison County";="Moraes do Sul";="AC";="Brasil";="1986-03-12";="ELO";="GOLD";="15";="MARIA EDUARDA COSTA";="PRO";="39251184119";="";=""
="C_0047";="Gubio Pereira";="gubio.pereira";="pereira.gubio@aol.com";="admin999";="96184038079";="75539627075";="53281468";="Avenida Franco";="891";="Worcestershire";="Maria Helena do Norte";="AP";="Brasil";="1976-12-08";="AMEX";="BRONZE";="15";="GUBIO PEREIRA";="PRO";="96184038079";="";=""
="C_0048";="Benicio Batista";="benicio.batista";="batista.benicio@uol.com.br";="admin999";="68996520136";="3435638766";="65893615";="Rua Maria Cecilia";="66074";="Lothian";="Melo do Descoberto";="AM";="Brasil";="1977-04-16";="AMEX";="GOLD";="10";="BENICIO BATISTA";="PRO";="68996520136";="";=""
="C_0049";="Igor Braga";="igor.braga";="braga.igor@yandex.com";="admin999";="17420346089";="4785944347";="85201664";="Alameda Roberto";="697";="Mid Glamorgan";="Marcela do Descoberto";="RO";="Brasil";="1977-03-18";="HIPERCARD";="BLACK";="10";="IGOR BRAGA";="FREE";="17420346089";="";=""
="C_0050";="Eduarda Oliveira";="eduarda.oliveira";="oliveira.eduarda@gmail.com";="admin999";="42201027366";="550343252881";="29387262";="Rodovia Ana Luiza";="2710";="Clwyd";="Yango do Norte";="GO";="Brasil";="1975-03-23";="VISA";="GOLD";="10";="EDUARDA OLIVEIRA";="FREE";="42201027366";="";=""
="C_0051";="Nubia Franco";="nubia.franco";="franco.nubia@yandex.com";="admin999";="54025952408";="5691563754";="67601677";="Avenida Helio";="7681";="Cleveland";="Dalila do Sul";="PI";="Brasil";="1989-05-04";="ELO";="BLACK";="20";="NUBIA FRANCO";="PRO";="54025952408";="";=""
="C_0052";="Morgana Nogueira";="morgana.nogueira";="nogueira.morgana@gmail.com";="admin999";="09859435138";="9060970612";="25595631";="Marginal Saraiva";="2617";="Carroll County";="Rafael de Nossa Senhora";="GO";="Brasil";="1998-03-31";="AMEX";="GOLD";="20";="MORGANA NOGUEIRA";="VIP_BLACK";="09859435138";="";=""
="C_0053";="Nicolas Martins";="nicolas.martins";="martins.nicolas@ig.com.br";="admin999";="91243590173";="61588000685";="13967754";="Travessa Isabela";="546";="Lawrence County";="Pereira do Sul";="DF";="Brasil";="2005-03-29";="VISA";="BRONZE";="15";="NICOLAS MARTINS";="FREE";="91243590173";="";=""
="C_0054";="Alice Silva";="alice.silva";="silva.alice@yandex.com";="admin999";="18007282807";="556892636510";="75996339";="Avenida Macedo";="4026";="Cleveland";="Xavier do Descoberto";="RO";="Brasil";="1974-08-04";="VISA";="GOLD";="10";="ALICE SILVA";="VIP_BLACK";="18007282807";="";=""
="C_0055";="Yasmin Martins";="yasmin.martins";="martins.yasmin@live.com";="admin999";="64802577400";="59408724550";="65204362";="Rodovia Sirineu";="31041";="Monroe County";="Albuquerque do Descoberto";="MT";="Brasil";="2007-12-03";="MASTERCARD";="BLACK";="15";="YASMIN MARTINS";="PRO";="64802577400";="";=""
="C_0056";="Yango Moreira";="yango.moreira";="moreira.yango@yandex.com";="admin999";="01539632474";="554613226409";="06601304";="Travessa Eloa";="87793";="Fayette County";="Rafaela do Descoberto";="DF";="Brasil";="1994-05-05";="AMEX";="PLATINUM";="15";="YANGO MOREIRA";="VIP_BLACK";="01539632474";="";=""
="C_0057";="Maria Alice Franco";="mariaalice.franco";="franco.mariaalice@live.com";="admin999";="41373956755";="43212966458";="85476948";="Rodovia Pereira";="36598";="Washington County";="Albuquerque do Norte";="PI";="Brasil";="1978-03-02";="AMEX";="PLATINUM";="15";="MARIA ALICE FRANCO";="PRO";="41373956755";="";=""
="C_0058";="Eloa Santos";="eloa.santos";="santos.eloa@msn.com";="admin999";="35232917633";="5014249359";="38725846";="Avenida Macedo";="80940";="Grant County";="Barros do Norte";="RR";="Brasil";="2001-01-27";="VISA";="GOLD";="15";="ELOA SANTOS";="PRO";="35232917633";="";=""
="C_0059";="Kleber Albuquerque";="kleber.albuquerque";="albuquerque.kleber@mail.com";="admin999";="75935241838";="559526724663";="33089985";="Travessa Santos";="886";="Strathclyde";="Heloisa de Nossa Senhora";="SP";="Brasil";="2006-09-16";="HIPERCARD";="GOLD";="20";="KLEBER ALBUQUERQUE";="VIP_BLACK";="75935241838";="";=""
="C_0060";="Larissa Braga";="larissa.braga";="braga.larissa@outlook.com";="admin999";="03009484763";="12811113776";="39038784";="Rodovia Beatriz";="8392";="Logan County";="Silva do Norte";="AC";="Brasil";="1966-10-08";="AMEX";="GOLD";="20";="LARISSA BRAGA";="FREE";="03009484763";="";=""
="C_0061";="Elisio Costa";="elisio.costa";="costa.elisio@zoho.com";="admin999";="80969306997";="558375953019";="77364599";="Avenida Moreira";="1740";="Lake County";="Melo do Descoberto";="MG";="Brasil";="2004-07-31";="HIPERCARD";="BRONZE";="10";="ELISIO COSTA";="VIP_BLACK";="80969306997";="";=""
="C_0062";="Melissa Batista";="melissa.batista";="batista.melissa@icloud.com";="admin999";="38593851860";="16071697568";="53526987";="Rodovia Barros";="62821";="Carroll County";="Melo de Nossa Senhora";="SC";="Brasil";="1968-08-05";="HIPERCARD";="PLATINUM";="20";="MELISSA BATISTA";="FREE";="38593851860";="";=""
="C_0063";="Mercia Albuquerque";="mercia.albuquerque";="albuquerque.mercia@yandex.com";="admin999";="75695470200";="551139247310";="29949019";="Rodovia Hugo";="81637";="Rutland";="Heloisa de Nossa Senhora";="PA";="Brasil";="1997-06-04";="ELO";="PLATINUM";="10";="MERCIA ALBUQUERQUE";="PRO";="75695470200";="";=""
="C_0064";="Liz Barros";="liz.barros";="barros.liz@ig.com.br";="admin999";="70900331984";="23739331424";="12275306";="Rodovia Yango";="14257";="Isle of Wight";="Pedro do Descoberto";="MG";="Brasil";="1990-09-05";="VISA";="GOLD";="15";="LIZ BARROS";="FREE";="70900331984";="";=""
="C_0065";="Elisa Franco";="elisa.franco";="franco.elisa@bol.com.br";="admin999";="54832706306";="7766323142";="91358552";="Rua Maria Helena";="8656";="Cumbria";="Gabriel do Descoberto";="AL";="Brasil";="1971-04-17";="AMEX";="PLATINUM";="25";="ELISA FRANCO";="VIP_BLACK";="54832706306";="";=""
="C_0066";="Sirineu Franco";="sirineu.franco";="franco.sirineu@mail.com";="admin999";="10407293043";="9972248903";="00854008";="Marginal Maria Cecilia";="261";="Lancashire";="Bruna do Sul";="CE";="Brasil";="1997-09-24";="AMEX";="BRONZE";="10";="SIRINEU FRANCO";="FREE";="10407293043";="";=""
="C_0067";="Murilo Moraes";="murilo.moraes";="moraes.murilo@me.com";="admin999";="16151873750";="5190390260";="44471175";="Marginal Xavier";="26989";="County Antrim";="Souza de Nossa Senhora";="MT";="Brasil";="1994-06-19";="HIPERCARD";="BRONZE";="15";="MURILO MORAES";="VIP_BLACK";="16151873750";="";=""
="C_0068";="Ana Julia Oliveira";="anajulia.oliveira";="oliveira.anajulia@hotmail.com";="admin999";="85849378200";="7521701065";="86157742";="Rodovia Santos";="35172";="Wayne County";="Braga do Sul";="AC";="Brasil";="1993-02-05";="HIPERCARD";="BLACK";="15";="ANA JULIA OLIVEIRA";="VIP_BLACK";="85849378200";="";=""
="C_0069";="Caua Barros";="caua.barros";="barros.caua@gmx.com";="admin999";="25455353896";="8416702863";="43678218";="Avenida Carlos";="9517";="Calhoun County";="Souza do Sul";="AC";="Brasil";="2007-09-17";="HIPERCARD";="GOLD";="25";="CAUA BARROS";="FREE";="25455353896";="";=""
="C_0070";="Heloisa Xavier";="heloisa.xavier";="xavier.heloisa@yahoo.com";="admin999";="99631906000";="555200837072";="03907470";="Rodovia Eduarda";="92503";="Lancashire";="Yasmin do Sul";="AM";="Brasil";="2000-04-07";="AMEX";="PLATINUM";="15";="HELOISA XAVIER";="FREE";="99631906000";="";=""
="C_0071";="Maria Alice Moraes";="mariaalice.moraes";="moraes.mariaalice@me.com";="admin999";="07605900015";="13539341213";="06672328";="Alameda Maria Eduarda";="8846";="West Midlands";="Fabricia do Descoberto";="PI";="Brasil";="1985-04-04";="VISA";="BLACK";="15";="MARIA ALICE MORAES";="VIP_BLACK";="07605900015";="";=""
="C_0072";="Gubio Saraiva";="gubio.saraiva";="saraiva.gubio@gmail.com";="admin999";="19686514201";="28606188518";="47821094";="Marginal Raul";="4164";="County Armagh";="Heloisa do Norte";="AP";="Brasil";="1976-07-18";="AMEX";="BLACK";="15";="GUBIO SARAIVA";="FREE";="19686514201";="";=""
="C_0073";="Pietro Batista";="pietro.batista";="batista.pietro@mail.com";="admin999";="02380328927";="72084108935";="78513151";="Rodovia Marcela";="26650";="Lincolnshire";="Valentina de Nossa Senhora";="RO";="Brasil";="1974-10-23";="ELO";="GOLD";="10";="PIETRO BATISTA";="PRO";="02380328927";="";=""
="C_0074";="Laura Silva";="laura.silva";="silva.laura@icloud.com";="admin999";="09403930772";="0492533268";="32124390";="Marginal Fabricia";="604";="Lancashire";="Nogueira do Descoberto";="PA";="Brasil";="1995-11-05";="MASTERCARD";="PLATINUM";="10";="LAURA SILVA";="PRO";="09403930772";="";=""
="C_0075";="Victor Saraiva";="victor.saraiva";="saraiva.victor@bol.com.br";="admin999";="01016874006";="8889839237";="41076680";="Rua Janaina";="21552";="County Fermanagh";="Guilherme de Nossa Senhora";="RN";="Brasil";="1999-09-07";="AMEX";="BLACK";="20";="VICTOR SARAIVA";="FREE";="01016874006";="";=""
="C_0076";="Samuel Silva";="samuel.silva";="silva.samuel@icloud.com";="admin999";="08362653787";="551447518427";="03157631";="Avenida Melo";="5933";="Gloucestershire";="Franco do Descoberto";="BA";="Brasil";="1970-09-05";="ELO";="GOLD";="15";="SAMUEL SILVA";="FREE";="08362653787";="";=""
="C_0077";="Silas Oliveira";="silas.oliveira";="oliveira.silas@aol.com";="admin999";="67343338927";="3416067350";="08909651";="Travessa Moraes";="16909";="Carroll County";="Reis do Sul";="RR";="Brasil";="1973-12-17";="AMEX";="BLACK";="15";="SILAS OLIVEIRA";="PRO";="67343338927";="";=""
="C_0078";="Miguel Melo";="miguel.melo";="melo.miguel@msn.com";="admin999";="86681033857";="557835020860";="78178239";="Alameda Moraes";="4994";="Merseyside";="Gustavo do Descoberto";="RO";="Brasil";="1978-05-24";="ELO";="PLATINUM";="10";="MIGUEL MELO";="VIP_BLACK";="86681033857";="";=""
="C_0079";="Fabiano Batista";="fabiano.batista";="batista.fabiano@aol.com";="admin999";="07650640140";="0453863204";="54485712";="Avenida Marcia";="71694";="Grampian";="Sara de Nossa Senhora";="SC";="Brasil";="1970-12-04";="ELO";="BRONZE";="15";="FABIANO BATISTA";="FREE";="07650640140";="";=""
="C_0080";="Lavinia Nogueira";="lavinia.nogueira";="nogueira.lavinia@hotmail.com";="admin999";="79848680187";="554292261352";="82166215";="Rodovia Joao";="80009";="Jackson County";="Larissa do Norte";="RO";="Brasil";="1974-03-18";="ELO";="BLACK";="25";="LAVINIA NOGUEIRA";="VIP_BLACK";="79848680187";="";=""
="C_0081";="Gubio Oliveira";="gubio.oliveira";="oliveira.gubio@gmx.com";="admin999";="11222353644";="3118064017";="36010809";="Avenida Eduarda";="241";="Clark County";="Maria do Norte";="SC";="Brasil";="1983-08-27";="AMEX";="GOLD";="10";="GUBIO OLIVEIRA";="VIP_BLACK";="11222353644";="";=""
="C_0082";="Joana Oliveira";="joana.oliveira";="oliveira.joana@bol.com.br";="admin999";="18798438468";="0132488387";="88662069";="Rodovia Carvalho";="76847";="Scott County";="Melo do Descoberto";="RS";="Brasil";="1987-07-22";="VISA";="BLACK";="25";="JOANA OLIVEIRA";="FREE";="18798438468";="";=""
="C_0083";="Rafaela Moreira";="rafaela.moreira";="moreira.rafaela@aol.com";="admin999";="61205769161";="556939615477";="56018953";="Rodovia Isabel";="60504";="Lincolnshire";="Emanuelly do Descoberto";="RR";="Brasil";="1991-12-30";="AMEX";="BLACK";="25";="RAFAELA MOREIRA";="FREE";="61205769161";="";=""
="C_0084";="Ana Laura Xavier";="analaura.xavier";="xavier.analaura@protonmail.com";="admin999";="62137549549";="553620630133";="85195901";="Marginal Ladislau";="6166";="Worcestershire";="Santos de Nossa Senhora";="PI";="Brasil";="1991-10-16";="VISA";="GOLD";="25";="ANA LAURA XAVIER";="FREE";="62137549549";="";=""
="C_0085";="Gael Santos";="gael.santos";="santos.gael@yandex.com";="admin999";="88087885392";="551008687019";="98950665";="Marginal Sara";="16514";="Cheshire";="Silva do Norte";="RO";="Brasil";="1992-11-28";="MASTERCARD";="GOLD";="25";="GAEL SANTOS";="FREE";="88087885392";="";=""
